in:Orientation,in:WWR,in:Shade_Position,in:Shade_Depth,in:VT,in:Lighting_Control,out:sDA_[%],out:ASE_[%],out:Total_EUI_[kWh/m²],out:Cooling_[kWh/m²],out:Heating_[kWh/m²],img
West,55%,Right,50cm,60%,No_Lighting_Control,73.58,30.22,115.6,8.5,41.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth2_VT2_Lighting_Control0.png
South,35%,Left,50cm,60%,No_Lighting_Control,50,0,118.6,7,45.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
East,35%,Left,50cm,60%,No_Lighting_Control,53.29,8.4,114,7.2,40.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
North,35%,Left,50cm,60%,No_Lighting_Control,65.11,26.96,104.4,8,30.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
West,35%,Left,50cm,60%,No_Lighting_Control,59.52,22.93,114.2,7.6,40.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
South,45%,Left,50cm,60%,No_Lighting_Control,56.64,0,119.6,7,46.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
East,45%,Left,50cm,60%,No_Lighting_Control,60.26,10.67,114,7.6,40.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
North,45%,Left,50cm,60%,No_Lighting_Control,73.27,31.1,102,8.4,27.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
West,45%,Left,50cm,60%,No_Lighting_Control,67.07,28.52,114.5,8.1,40.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
South,55%,Left,50cm,60%,No_Lighting_Control,63.08,0,120.8,7.3,47.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
East,55%,Left,50cm,60%,No_Lighting_Control,67.07,12.5,114.5,8.1,40.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
North,55%,Left,50cm,60%,No_Lighting_Control,83.37,34.65,100.2,8.8,25.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
West,55%,Left,50cm,60%,No_Lighting_Control,74.83,32.93,114.8,8.5,40.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position2_Shade_Depth2_VT2_Lighting_Control0.png
South,35%,Top,75cm,60%,No_Lighting_Control,46.1,0,118.6,6.6,45.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
East,35%,Top,75cm,60%,No_Lighting_Control,50.17,6.81,114.4,6.9,41.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
North,35%,Top,75cm,60%,No_Lighting_Control,60.57,19.82,107.1,7.2,33.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
West,35%,Top,75cm,60%,No_Lighting_Control,55.56,15.75,115.1,7.1,42,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
South,45%,Top,75cm,60%,No_Lighting_Control,53.05,0,119.9,6.7,47.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
East,45%,Top,75cm,60%,No_Lighting_Control,57.35,8.57,114.8,7,41.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
North,45%,Top,75cm,60%,No_Lighting_Control,68.63,24.93,105.8,7,32.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
West,45%,Top,75cm,60%,No_Lighting_Control,63.08,21.1,115.6,7.3,42.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
South,55%,Top,75cm,60%,No_Lighting_Control,59.65,0,121.2,7,48.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
East,55%,Top,75cm,60%,No_Lighting_Control,64.16,10.57,115.2,7.3,41.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
North,55%,Top,75cm,60%,No_Lighting_Control,76.39,28.93,104.3,7.3,30.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
West,55%,Top,75cm,60%,No_Lighting_Control,70.36,25.98,116.1,7.6,42.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position0_Shade_Depth3_VT2_Lighting_Control0.png
South,35%,Right,75cm,60%,No_Lighting_Control,48.95,0,118.3,6.7,45.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
East,35%,Right,75cm,60%,No_Lighting_Control,53.52,11.21,113.3,7.3,39.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
North,35%,Right,75cm,60%,No_Lighting_Control,64.84,26.49,104.8,7.9,30.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
West,35%,Right,75cm,60%,No_Lighting_Control,57.69,19.14,115,7.5,41.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
South,45%,Right,75cm,60%,No_Lighting_Control,55.89,0,119.6,7,46.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
East,45%,Right,75cm,60%,No_Lighting_Control,60.87,13.82,113.3,7.6,39.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
North,45%,Right,75cm,60%,No_Lighting_Control,72.76,30.69,102.3,8.4,27.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
West,45%,Right,75cm,60%,No_Lighting_Control,65.31,25.24,115.4,8,41.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
South,55%,Right,75cm,60%,No_Lighting_Control,62.06,0,120.8,7.2,47.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
East,55%,Right,75cm,60%,No_Lighting_Control,67.58,15.65,113.6,8.1,39.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
North,55%,Right,75cm,60%,No_Lighting_Control,83.71,34.08,100.6,8.8,25.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
West,55%,Right,75cm,60%,No_Lighting_Control,72.73,29.3,116,8.4,41.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth3_VT2_Lighting_Control0.png
South,35%,Left,75cm,60%,No_Lighting_Control,49.42,0,118.6,7,45.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
East,35%,Left,75cm,60%,No_Lighting_Control,52.54,7.69,114.2,7.2,40.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
North,35%,Left,75cm,60%,No_Lighting_Control,64.16,26.49,104.7,7.9,30.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
West,35%,Left,75cm,60%,No_Lighting_Control,59.25,22.83,114.2,7.6,40.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
South,45%,Left,75cm,60%,No_Lighting_Control,56.33,0,119.6,7,46.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
East,45%,Left,75cm,60%,No_Lighting_Control,59.86,9.96,114.3,7.6,40.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
North,45%,Left,75cm,60%,No_Lighting_Control,72.87,30.86,102.2,8.4,27.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
West,45%,Left,75cm,60%,No_Lighting_Control,67.04,28.42,114.6,8,40.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
South,55%,Left,75cm,60%,No_Lighting_Control,62.53,0,120.9,7.2,47.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
East,55%,Left,75cm,60%,No_Lighting_Control,66.43,11.45,114.9,8.1,40.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
North,55%,Left,75cm,60%,No_Lighting_Control,82.72,34.32,100.6,8.8,25.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
West,55%,Left,75cm,60%,No_Lighting_Control,74.39,32.79,114.8,8.5,40.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position2_Shade_Depth3_VT2_Lighting_Control0.png
South,35%,Top,100cm,60%,No_Lighting_Control,45.02,0,118.6,6.5,46,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
East,35%,Top,100cm,60%,No_Lighting_Control,49.46,4.34,114.6,6.8,41.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
North,35%,Top,100cm,60%,No_Lighting_Control,59.28,17.55,108.2,7,35.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
West,35%,Top,100cm,60%,No_Lighting_Control,54.54,13.79,115.2,7,42.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
South,45%,Top,100cm,60%,No_Lighting_Control,52,0,120,6.7,47.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
East,45%,Top,100cm,60%,No_Lighting_Control,56.13,5.52,115.2,6.9,42.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
North,45%,Top,100cm,60%,No_Lighting_Control,66.87,22.59,107.6,7.1,34.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
West,45%,Top,100cm,60%,No_Lighting_Control,61.42,19.14,115.9,7.1,42.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
South,55%,Top,100cm,60%,No_Lighting_Control,58.3,0,121.3,6.9,48.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
East,55%,Top,100cm,60%,No_Lighting_Control,62.97,8.74,115.6,7.1,42.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
North,55%,Top,100cm,60%,No_Lighting_Control,75.03,27,105.8,7.1,32.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
West,55%,Top,100cm,60%,No_Lighting_Control,69.41,23.75,116.3,7.4,42.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position0_Shade_Depth4_VT2_Lighting_Control0.png
South,35%,Right,100cm,60%,No_Lighting_Control,48.58,0,118.3,6.7,45.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
East,35%,Right,100cm,60%,No_Lighting_Control,53.62,11.21,113.3,7.3,40,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
North,35%,Right,100cm,60%,No_Lighting_Control,64.6,26.05,105.1,7.9,31.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
West,35%,Right,100cm,60%,No_Lighting_Control,57.35,18.33,115.2,7.5,41.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
South,45%,Right,100cm,60%,No_Lighting_Control,55.28,0,119.6,7,46.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
East,45%,Right,100cm,60%,No_Lighting_Control,60.94,13.82,113.3,7.6,39.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
North,45%,Right,100cm,60%,No_Lighting_Control,72.19,30.39,102.6,8.3,28.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
West,45%,Right,100cm,60%,No_Lighting_Control,64.43,24.86,115.6,7.9,41.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
South,55%,Right,100cm,60%,No_Lighting_Control,61.86,0,120.9,7.2,47.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
East,55%,Right,100cm,60%,No_Lighting_Control,68.12,15.65,113.6,8.1,39.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
North,55%,Right,100cm,60%,No_Lighting_Control,82.66,33.77,100.9,8.8,26.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
West,55%,Right,100cm,60%,No_Lighting_Control,71.95,28.73,116.2,8.4,41.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth4_VT2_Lighting_Control0.png
South,35%,Left,100cm,60%,No_Lighting_Control,49.29,0,118.6,7,45.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
East,35%,Left,100cm,60%,No_Lighting_Control,51.86,7.05,114.4,7.1,41.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
North,35%,Left,100cm,60%,No_Lighting_Control,64.57,26.12,105,7.9,31,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
West,35%,Left,100cm,60%,No_Lighting_Control,59.28,22.76,114.2,7.6,40.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
South,45%,Left,100cm,60%,No_Lighting_Control,55.93,0,119.6,7,46.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
East,45%,Left,100cm,60%,No_Lighting_Control,59.35,9.32,114.6,7.5,41,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
North,45%,Left,100cm,60%,No_Lighting_Control,72.49,30.62,103,8.3,28.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
West,45%,Left,100cm,60%,No_Lighting_Control,66.7,28.32,114.6,8,40.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
South,55%,Left,100cm,60%,No_Lighting_Control,62.5,0,120.9,7.2,47.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
East,55%,Left,100cm,60%,No_Lighting_Control,65.96,10.81,115.2,8,41.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
North,55%,Left,100cm,60%,No_Lighting_Control,82.35,33.91,100.9,8.8,26.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
West,55%,Left,100cm,60%,No_Lighting_Control,74.66,32.72,114.7,8.4,40.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position2_Shade_Depth4_VT2_Lighting_Control0.png
South,35%,Top,0cm,70%,No_Lighting_Control,50.54,0,117.6,7,44.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position0_Shade_Depth0_VT3_Lighting_Control0.png
East,35%,Top,0cm,70%,No_Lighting_Control,54.88,11.21,112.2,7.7,38.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position0_Shade_Depth0_VT3_Lighting_Control0.png
North,35%,Top,0cm,70%,No_Lighting_Control,66.16,28.12,101,8.4,26.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth0_VT3_Lighting_Control0.png
West,35%,Top,0cm,70%,No_Lighting_Control,59.55,23.17,113.2,8,39.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth0_VT3_Lighting_Control0.png
South,45%,Top,0cm,70%,No_Lighting_Control,57.52,0,118.9,7.3,45.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth0_VT3_Lighting_Control0.png
East,45%,Top,0cm,70%,No_Lighting_Control,61.72,13.82,112.2,8.2,37.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth0_VT3_Lighting_Control0.png
North,45%,Top,0cm,70%,No_Lighting_Control,74.93,31.91,98.6,9,23.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth0_VT3_Lighting_Control0.png
West,45%,Top,0cm,70%,No_Lighting_Control,68.16,28.62,113.4,8.6,38.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth0_VT3_Lighting_Control0.png
South,55%,Top,0cm,70%,No_Lighting_Control,63.82,0,120.1,7.7,46.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth0_VT3_Lighting_Control0.png
