in:Orientation,in:WWR,in:Shade Position,in:Shade Depth,in:VT,in:Lighting Control,out:sDA [%],out:ASE [%],out:Total EUI [kWh/m²],out:Cooling [kWh/m²],out:Heating [kWh/m²],img
South,50%,Right,50cm,70%,No Lighting Control,59.55,0,119.5,7.4,46.1,Orientation0_WWR2_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
East,50%,Right,50cm,70%,No Lighting Control,64.33,14.84,112.3,8.4,37.8,Orientation1_WWR2_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
North,50%,Right,50cm,70%,No Lighting Control,77.44,32.69,98.2,9.1,23.1,Orientation2_WWR2_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
West,50%,Right,50cm,70%,No Lighting Control,69.55,28.39,114.2,8.7,39.4,Orientation3_WWR2_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
South,60%,Right,50cm,70%,No Lighting Control,65.75,0,120.6,7.7,46.9,Orientation0_WWR3_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
East,60%,Right,50cm,70%,No Lighting Control,71.41,16.33,112.3,9,37.3,Orientation1_WWR3_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
North,60%,Right,50cm,70%,No Lighting Control,91.8,36.42,96.4,9.7,20.6,Orientation2_WWR3_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
West,60%,Right,50cm,70%,No Lighting Control,77.07,32.11,114.6,9.2,39.4,Orientation3_WWR3_Shade Position1_Shade Depth1_VT3_Lighting Control0.png
South,30%,Left,50cm,70%,No Lighting Control,45.22,0,117.4,7.1,44.3,Orientation0_WWR0_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
East,30%,Left,50cm,70%,No Lighting Control,48.61,6.88,113.1,7.2,39.8,Orientation1_WWR0_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
North,30%,Left,50cm,70%,No Lighting Control,60.13,23.27,103.6,8,29.5,Orientation2_WWR0_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
West,30%,Left,50cm,70%,No Lighting Control,54.57,18.94,113.2,7.7,39.5,Orientation3_WWR0_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
South,40%,Left,50cm,70%,No Lighting Control,53.29,0,118.4,7.1,45.3,Orientation0_WWR1_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
East,40%,Left,50cm,70%,No Lighting Control,56.81,9.59,113.2,7.8,39.3,Orientation1_WWR1_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
North,40%,Left,50cm,70%,No Lighting Control,69.51,29.34,100.5,8.5,25.9,Orientation2_WWR1_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
West,40%,Left,50cm,70%,No Lighting Control,63.52,25.91,113.4,8.2,39.1,Orientation3_WWR1_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
South,50%,Left,50cm,70%,No Lighting Control,59.52,0,119.5,7.4,46.1,Orientation0_WWR2_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
East,50%,Left,50cm,70%,No Lighting Control,63.52,11.69,113.1,8.4,38.7,Orientation1_WWR2_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
North,50%,Left,50cm,70%,No Lighting Control,77.64,32.72,98.2,9.1,23,Orientation2_WWR2_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
West,50%,Left,50cm,70%,No Lighting Control,70.39,30.76,113.6,8.8,38.7,Orientation3_WWR2_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
South,60%,Left,50cm,70%,No Lighting Control,66.29,0,120.7,7.7,46.9,Orientation0_WWR3_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
East,60%,Left,50cm,70%,No Lighting Control,70.66,13.08,113.5,8.9,38.5,Orientation1_WWR3_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
North,60%,Left,50cm,70%,No Lighting Control,92.21,36.42,96.3,9.7,20.5,Orientation2_WWR3_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
West,60%,Left,50cm,70%,No Lighting Control,78.79,34.79,113.8,9.3,38.4,Orientation3_WWR3_Shade Position2_Shade Depth1_VT3_Lighting Control0.png
South,30%,Top,100cm,70%,No Lighting Control,39.94,0,117.5,6.6,44.8,Orientation0_WWR0_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
East,30%,Top,100cm,70%,No Lighting Control,45.16,3.62,113.6,6.8,40.7,Orientation1_WWR0_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
North,30%,Top,100cm,70%,No Lighting Control,55.32,14.87,107.1,7.1,33.9,Orientation2_WWR0_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
West,30%,Top,100cm,70%,No Lighting Control,50.07,11.11,114.3,7.1,41.2,Orientation3_WWR0_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
South,40%,Top,100cm,70%,No Lighting Control,49.02,0,118.9,6.8,46.1,Orientation0_WWR1_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
East,40%,Top,100cm,70%,No Lighting Control,53.01,4.95,114,7.1,40.9,Orientation1_WWR1_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
North,40%,Top,100cm,70%,No Lighting Control,63.14,20.56,105.8,7,32.7,Orientation2_WWR1_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
West,40%,Top,100cm,70%,No Lighting Control,58.4,16.63,114.8,7.3,41.5,Orientation3_WWR1_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
South,50%,Top,100cm,70%,No Lighting Control,54.98,0,120.2,7,47.1,Orientation0_WWR2_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
East,50%,Top,100cm,70%,No Lighting Control,59.11,6.44,114.4,7.2,41.1,Orientation1_WWR2_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
North,50%,Top,100cm,70%,No Lighting Control,69.88,24.53,104.6,7.2,31.4,Orientation2_WWR2_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
West,50%,Top,100cm,70%,No Lighting Control,64.74,21.48,115.2,7.4,41.7,Orientation3_WWR2_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
South,60%,Top,100cm,70%,No Lighting Control,61.69,0,121.3,7.2,48,Orientation0_WWR3_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
East,60%,Top,100cm,70%,No Lighting Control,66.29,9.99,114.5,7.8,40.6,Orientation1_WWR3_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
North,60%,Top,100cm,70%,No Lighting Control,80.59,29.07,101.5,7.6,27.8,Orientation2_WWR3_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
West,60%,Top,100cm,70%,No Lighting Control,72.87,25.81,115.4,8,41.3,Orientation3_WWR3_Shade Position0_Shade Depth2_VT3_Lighting Control0.png
South,30%,Right,100cm,70%,No Lighting Control,44.28,0,117.2,6.8,44.4,Orientation0_WWR0_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
East,30%,Right,100cm,70%,No Lighting Control,49.25,9.89,112.3,7.2,39,Orientation1_WWR0_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
North,30%,Right,100cm,70%,No Lighting Control,59.55,22.43,104.3,7.9,30.3,Orientation2_WWR0_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
West,30%,Right,100cm,70%,No Lighting Control,52.57,14.46,114.7,7.6,41,Orientation3_WWR0_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
South,40%,Right,100cm,70%,No Lighting Control,52.27,0,118.5,7.1,45.4,Orientation0_WWR1_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
East,40%,Right,100cm,70%,No Lighting Control,57.52,12.53,112.3,7.8,38.4,Orientation1_WWR1_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
North,40%,Right,100cm,70%,No Lighting Control,68.9,28.59,101.3,8.5,26.7,Orientation2_WWR1_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
West,40%,Right,100cm,70%,No Lighting Control,60.98,21.92,114.6,8.1,40.4,Orientation3_WWR1_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
South,50%,Right,100cm,70%,No Lighting Control,58.54,0,119.6,7.3,46.2,Orientation0_WWR2_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
East,50%,Right,100cm,70%,No Lighting Control,63.82,14.84,112.4,8.4,37.9,Orientation1_WWR2_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
North,50%,Right,100cm,70%,No Lighting Control,76.63,32.08,98.9,9,23.8,Orientation2_WWR2_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
West,50%,Right,100cm,70%,No Lighting Control,68.33,27.2,114.8,8.6,40.1,Orientation3_WWR2_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
South,60%,Right,100cm,70%,No Lighting Control,65.14,0,120.7,7.6,47,Orientation0_WWR3_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
East,60%,Right,100cm,70%,No Lighting Control,71.07,16.33,112.4,8.9,37.4,Orientation1_WWR3_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
North,60%,Right,100cm,70%,No Lighting Control,90.28,35.7,97.1,9.5,21.5,Orientation2_WWR3_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
West,60%,Right,100cm,70%,No Lighting Control,75.81,30.28,115.4,9.1,40.3,Orientation3_WWR3_Shade Position1_Shade Depth2_VT3_Lighting Control0.png
South,30%,Left,100cm,70%,No Lighting Control,44.72,0,117.5,7,44.4,Orientation0_WWR0_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
East,30%,Left,100cm,70%,No Lighting Control,47.7,5.32,113.8,7.2,40.5,Orientation1_WWR0_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
North,30%,Left,100cm,70%,No Lighting Control,59.32,21.88,104.2,7.9,30.2,Orientation2_WWR0_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
West,30%,Left,100cm,70%,No Lighting Control,54.78,18.8,113.3,7.6,39.6,Orientation3_WWR0_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
South,40%,Left,100cm,70%,No Lighting Control,52.78,0,118.5,7.1,45.4,Orientation0_WWR1_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
East,40%,Left,100cm,70%,No Lighting Control,55.69,8.37,113.7,7.7,39.9,Orientation1_WWR1_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
North,40%,Left,100cm,70%,No Lighting Control,68.63,28.66,101.1,8.5,26.6,Orientation2_WWR1_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
West,40%,Left,100cm,70%,No Lighting Control,63.41,25.85,113.4,8.2,39.2,Orientation3_WWR1_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
South,50%,Left,100cm,70%,No Lighting Control,59.08,0,119.6,7.4,46.2,Orientation0_WWR2_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
East,50%,Left,100cm,70%,No Lighting Control,62.8,10.23,113.8,8.3,39.4,Orientation1_WWR2_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
North,50%,Left,100cm,70%,No Lighting Control,76.66,32.22,98.7,9,23.6,Orientation2_WWR2_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
West,50%,Left,100cm,70%,No Lighting Control,70.29,30.56,113.6,8.7,38.8,Orientation3_WWR2_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
South,60%,Left,100cm,70%,No Lighting Control,65.68,0,120.7,7.6,47.1,Orientation0_WWR3_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
East,60%,Left,100cm,70%,No Lighting Control,69.24,11.25,114.4,8.8,39.5,Orientation1_WWR3_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
North,60%,Left,100cm,70%,No Lighting Control,90.65,35.7,96.9,9.5,21.3,Orientation2_WWR3_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
West,60%,Left,100cm,70%,No Lighting Control,79.03,34.69,113.8,9.2,38.5,Orientation3_WWR3_Shade Position2_Shade Depth2_VT3_Lighting Control0.png
South,30%,Top,0cm,40%,Daylight Control,46.38,0,107.7,5,54.2,Orientation0_WWR0_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
East,30%,Top,0cm,40%,Daylight Control,50.58,9.89,102.7,5,50.5,Orientation1_WWR0_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
North,30%,Top,0cm,40%,Daylight Control,61.31,24.8,95.6,5.3,44.5,Orientation2_WWR0_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
West,30%,Top,0cm,40%,Daylight Control,55.12,19.21,102.8,5.2,51,Orientation3_WWR0_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
South,40%,Top,0cm,40%,Daylight Control,54.03,0,107.8,4.6,56.5,Orientation0_WWR1_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
East,40%,Top,0cm,40%,Daylight Control,58.67,12.53,102.5,5.1,51.7,Orientation1_WWR1_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
North,40%,Top,0cm,40%,Daylight Control,70.36,30.49,93.8,5.4,43.8,Orientation2_WWR1_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
West,40%,Top,0cm,40%,Daylight Control,63.82,26.02,103.1,5.3,52.6,Orientation3_WWR1_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
South,50%,Top,0cm,40%,Daylight Control,60.37,0,108.8,4.6,58.6,Orientation0_WWR2_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
East,50%,Top,0cm,40%,Daylight Control,65.31,14.84,102.6,5.2,52.7,Orientation1_WWR2_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
North,50%,Top,0cm,40%,Daylight Control,78.32,33.47,92.5,5.7,43,Orientation2_WWR2_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
West,50%,Top,0cm,40%,Daylight Control,70.83,30.96,103.4,5.5,53.6,Orientation3_WWR2_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
South,60%,Top,0cm,40%,Daylight Control,67.14,0,109.8,4.8,60.5,Orientation0_WWR3_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
East,60%,Top,0cm,40%,Daylight Control,72.12,16.33,102.5,5.5,53.2,Orientation1_WWR3_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
North,60%,Top,0cm,40%,Daylight Control,92.95,37.3,91.2,5.9,42.1,Orientation2_WWR3_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
West,60%,Top,0cm,40%,Daylight Control,79.47,34.89,103.8,5.7,54.6,Orientation3_WWR3_Shade Position0_Shade Depth0_VT0_Lighting Control1.png
South,30%,Right,0cm,40%,Daylight Control,46.1,0,107.7,5,54.2,Orientation0_WWR0_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
East,30%,Right,0cm,40%,Daylight Control,50.47,9.89,102.7,5,50.5,Orientation1_WWR0_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
North,30%,Right,0cm,40%,Daylight Control,61.48,24.8,95.6,5.3,44.5,Orientation2_WWR0_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
West,30%,Right,0cm,40%,Daylight Control,55.59,19.21,102.9,5.2,51,Orientation3_WWR0_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
South,40%,Right,0cm,40%,Daylight Control,54.1,0,107.8,4.6,56.5,Orientation0_WWR1_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
East,40%,Right,0cm,40%,Daylight Control,57.99,12.53,102.5,5.1,51.7,Orientation1_WWR1_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
North,40%,Right,0cm,40%,Daylight Control,70.6,30.49,93.8,5.4,43.8,Orientation2_WWR1_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
West,40%,Right,0cm,40%,Daylight Control,64.02,26.02,103.1,5.3,52.6,Orientation3_WWR1_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
South,50%,Right,0cm,40%,Daylight Control,60.54,0,108.7,4.6,58.6,Orientation0_WWR2_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
East,50%,Right,0cm,40%,Daylight Control,64.94,14.84,102.6,5.2,52.7,Orientation1_WWR2_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
North,50%,Right,0cm,40%,Daylight Control,78.29,33.47,92.5,5.7,43,Orientation2_WWR2_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
West,50%,Right,0cm,40%,Daylight Control,70.7,30.96,103.4,5.5,53.6,Orientation3_WWR2_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
South,60%,Right,0cm,40%,Daylight Control,67.48,0,109.8,4.8,60.6,Orientation0_WWR3_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
East,60%,Right,0cm,40%,Daylight Control,71.99,16.33,102.5,5.5,53.2,Orientation1_WWR3_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
North,60%,Right,0cm,40%,Daylight Control,93.46,37.3,91.2,5.9,42.1,Orientation2_WWR3_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
West,60%,Right,0cm,40%,Daylight Control,79.71,34.89,103.8,5.7,54.6,Orientation3_WWR3_Shade Position1_Shade Depth0_VT0_Lighting Control1.png
South,30%,Left,0cm,40%,Daylight Control,46.41,0,107.7,5,54.2,Orientation0_WWR0_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
East,30%,Left,0cm,40%,Daylight Control,50.44,9.89,102.7,5,50.6,Orientation1_WWR0_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
North,30%,Left,0cm,40%,Daylight Control,61.79,24.8,95.6,5.3,44.5,Orientation2_WWR0_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
West,30%,Left,0cm,40%,Daylight Control,55.56,19.21,102.8,5.2,51,Orientation3_WWR0_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
South,40%,Left,0cm,40%,Daylight Control,54.27,0,107.8,4.6,56.6,Orientation0_WWR1_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
East,40%,Left,0cm,40%,Daylight Control,58.13,12.53,102.5,5.1,51.7,Orientation1_WWR1_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
North,40%,Left,0cm,40%,Daylight Control,70.43,30.49,93.8,5.4,43.8,Orientation2_WWR1_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
West,40%,Left,0cm,40%,Daylight Control,64.09,26.02,103.1,5.3,52.6,Orientation3_WWR1_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
South,50%,Left,0cm,40%,Daylight Control,60.09,0,108.7,4.6,58.6,Orientation0_WWR2_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
East,50%,Left,0cm,40%,Daylight Control,64.94,14.84,102.6,5.2,52.7,Orientation1_WWR2_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
North,50%,Left,0cm,40%,Daylight Control,78.35,33.47,92.5,5.7,43,Orientation2_WWR2_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
West,50%,Left,0cm,40%,Daylight Control,71.27,30.96,103.4,5.5,53.6,Orientation3_WWR2_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
South,60%,Left,0cm,40%,Daylight Control,67.31,0,109.8,4.8,60.5,Orientation0_WWR3_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
East,60%,Left,0cm,40%,Daylight Control,71.78,16.33,102.5,5.5,53.2,Orientation1_WWR3_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
North,60%,Left,0cm,40%,Daylight Control,93.63,37.3,91.2,5.9,42.1,Orientation2_WWR3_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
West,60%,Left,0cm,40%,Daylight Control,79.67,34.89,103.8,5.7,54.6,Orientation3_WWR3_Shade Position2_Shade Depth0_VT0_Lighting Control1.png
South,30%,Top,50cm,40%,Daylight Control,43.29,0,108,5,54.1,Orientation0_WWR0_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
East,30%,Top,50cm,40%,Daylight Control,47.32,6.84,104.1,5.2,51.1,Orientation1_WWR0_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
North,30%,Top,50cm,40%,Daylight Control,57.66,19.38,97.5,4.8,46.3,Orientation2_WWR0_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
West,30%,Top,50cm,40%,Daylight Control,52.68,14.8,103.7,5,51.5,Orientation3_WWR0_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
South,40%,Top,50cm,40%,Daylight Control,51.39,0,108.2,4.5,56.5,Orientation0_WWR1_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
East,40%,Top,50cm,40%,Daylight Control,55.59,9.42,103.7,4.9,52.7,Orientation1_WWR1_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
North,40%,Top,50cm,40%,Daylight Control,66.16,25.81,96.3,4.8,46.4,Orientation2_WWR1_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
West,40%,Top,50cm,40%,Daylight Control,60.94,21.48,104.1,5,53.4,Orientation3_WWR1_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
South,50%,Top,50cm,40%,Daylight Control,57.38,0,109.1,4.5,58.7,Orientation0_WWR2_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
East,50%,Top,50cm,40%,Daylight Control,61.82,11.01,104,5,53.9,Orientation1_WWR2_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
North,50%,Top,50cm,40%,Daylight Control,74.02,29.51,95.3,4.9,46.2,Orientation2_WWR2_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
West,50%,Top,50cm,40%,Daylight Control,67.31,26.25,104.6,5.1,54.8,Orientation3_WWR2_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
South,60%,Top,50cm,40%,Daylight Control,64.13,0,110.2,4.7,60.6,Orientation0_WWR3_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
East,60%,Top,50cm,40%,Daylight Control,68.73,13.04,103.8,5.1,54.4,Orientation1_WWR3_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
North,60%,Top,50cm,40%,Daylight Control,85.67,33.54,94,5.2,45.4,Orientation2_WWR3_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
West,60%,Top,50cm,40%,Daylight Control,75.78,30.05,104.9,5.3,55.8,Orientation3_WWR3_Shade Position0_Shade Depth1_VT0_Lighting Control1.png
South,30%,Right,50cm,40%,Daylight Control,44.75,0,107.8,5,54.2,Orientation0_WWR0_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
East,30%,Right,50cm,40%,Daylight Control,49.76,9.89,102.9,5,50.7,Orientation1_WWR0_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
North,30%,Right,50cm,40%,Daylight Control,60.4,23.44,96.3,5.2,45.2,Orientation2_WWR0_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
West,30%,Right,50cm,40%,Daylight Control,53.56,16.06,103.6,5.1,51.5,Orientation3_WWR0_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
South,40%,Right,50cm,40%,Daylight Control,53.18,0,108,4.6,56.5,Orientation0_WWR1_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
East,40%,Right,50cm,40%,Daylight Control,58.13,12.53,102.7,5.1,51.8,Orientation1_WWR1_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
North,40%,Right,50cm,40%,Daylight Control,69.55,29.47,94.4,5.2,44.5,Orientation2_WWR1_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
West,40%,Right,50cm,40%,Daylight Control,62.16,23.41,103.9,5.3,53.1,Orientation3_WWR1_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
South,50%,Right,50cm,40%,Daylight Control,59.28,0,108.9,4.6,58.6,Orientation0_WWR2_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
East,50%,Right,50cm,40%,Daylight Control,64.06,14.84,102.7,5.2,52.7,Orientation1_WWR2_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
North,50%,Right,50cm,40%,Daylight Control,77.64,32.69,93.1,5.7,43.6,Orientation2_WWR2_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
West,50%,Right,50cm,40%,Daylight Control,69.21,28.39,104.2,5.5,54.2,Orientation3_WWR2_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
South,60%,Right,50cm,40%,Daylight Control,65.99,0,109.9,4.8,60.6,Orientation0_WWR3_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
East,60%,Right,50cm,40%,Daylight Control,71.14,16.33,102.7,5.5,53.2,Orientation1_WWR3_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
North,60%,Right,50cm,40%,Daylight Control,92.38,36.42,92,5.8,43,Orientation2_WWR3_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
West,60%,Right,50cm,40%,Daylight Control,77.71,32.11,104.7,5.6,55.4,Orientation3_WWR3_Shade Position1_Shade Depth1_VT0_Lighting Control1.png
South,30%,Left,50cm,40%,Daylight Control,45.43,0,107.8,5,54.2,Orientation0_WWR0_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
East,30%,Left,50cm,40%,Daylight Control,49.12,6.88,103.5,5,51.1,Orientation1_WWR0_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
North,30%,Left,50cm,40%,Daylight Control,60.03,23.27,96.3,5.2,45.1,Orientation2_WWR0_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
West,30%,Left,50cm,40%,Daylight Control,55.56,18.94,103,5.2,51.1,Orientation3_WWR0_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
South,40%,Left,50cm,40%,Daylight Control,53.32,0,108,4.6,56.5,Orientation0_WWR1_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
East,40%,Left,50cm,40%,Daylight Control,57.05,9.59,103.3,5,52.3,Orientation1_WWR1_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
North,40%,Left,50cm,40%,Daylight Control,68.77,29.34,94.5,5.3,44.4,Orientation2_WWR1_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
West,40%,Left,50cm,40%,Daylight Control,63.79,25.91,103.3,5.3,52.6,Orientation3_WWR1_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
South,50%,Left,50cm,40%,Daylight Control,59.55,0,108.9,4.6,58.6,Orientation0_WWR2_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
East,50%,Left,50cm,40%,Daylight Control,63.48,11.69,103.4,5.2,53.4,Orientation1_WWR2_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
North,50%,Left,50cm,40%,Daylight Control,77.41,32.72,93.1,5.7,43.6,Orientation2_WWR2_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
West,50%,Left,50cm,40%,Daylight Control,70.49,30.76,103.5,5.5,53.7,Orientation3_WWR2_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
South,60%,Left,50cm,40%,Daylight Control,66.46,0,109.9,4.8,60.6,Orientation0_WWR3_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
East,60%,Left,50cm,40%,Daylight Control,70.63,13.08,103.5,5.5,54,Orientation1_WWR3_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
North,60%,Left,50cm,40%,Daylight Control,91.46,36.42,91.9,5.8,42.9,Orientation2_WWR3_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
West,60%,Left,50cm,40%,Daylight Control,79.2,34.79,103.9,5.7,54.7,Orientation3_WWR3_Shade Position2_Shade Depth1_VT0_Lighting Control1.png
South,30%,Top,100cm,40%,Daylight Control,40.31,0,108.3,4.9,53.9,Orientation0_WWR0_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
East,30%,Top,100cm,40%,Daylight Control,44.82,3.62,104.3,4.7,51.4,Orientation1_WWR0_Shade Position0_Shade Depth2_VT0_Lighting Control1.png
